"U:0","U:1","U:2","p","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-0.00047279,0.022787,0,-0.012953,1,0,0,0.5,0.05
-0.0019511,0.041857,0,-0.013762,1,0.025,0.025,0.5,0.05
-0.0064793,0.07645,0,-0.015057,1,0.05,0.05,0.5,0.05
-0.013557,0.10423,0,-0.015943,1,0.075,0.075,0.5,0.05
-0.022324,0.12586,0,-0.016717,1,0.1,0.1,0.5,0.05
-0.032308,0.14206,0,-0.017447,1,0.125,0.125,0.5,0.05
-0.04312,0.15358,0,-0.018168,1,0.15,0.15,0.5,0.05
-0.054437,0.16111,0,-0.018913,1,0.175,0.175,0.5,0.05
-0.066014,0.16525,0,-0.01971,1,0.2,0.2,0.5,0.05
-0.077671,0.16651,0,-0.020569,1,0.225,0.225,0.5,0.05
-0.089279,0.16527,0,-0.021496,1,0.25,0.25,0.5,0.05
-0.10075,0.16183,0,-0.022484,1,0.275,0.275,0.5,0.05
-0.11203,0.1564,0,-0.02352,1,0.3,0.3,0.5,0.05
-0.12306,0.14909,0,-0.024584,1,0.325,0.325,0.5,0.05
-0.13382,0.13998,0,-0.025646,1,0.35,0.35,0.5,0.05
-0.14428,0.12911,0,-0.026674,1,0.375,0.375,0.5,0.05
-0.15439,0.11647,0,-0.027626,1,0.4,0.4,0.5,0.05
-0.16411,0.10205,0,-0.028456,1,0.425,0.425,0.5,0.05
-0.17335,0.085842,0,-0.029114,1,0.45,0.45,0.5,0.05
-0.18204,0.067833,0,-0.029547,1,0.475,0.475,0.5,0.05
-0.19003,0.048045,0,-0.029701,1,0.5,0.5,0.5,0.05
-0.19719,0.026537,0,-0.029526,1,0.525,0.525,0.5,0.05
-0.20332,0.003423,0,-0.028977,1,0.55,0.55,0.5,0.05
-0.20819,-0.021111,0,-0.027996,1,0.575,0.575,0.5,0.05
-0.21158,-0.046838,0,-0.026527,1,0.6,0.6,0.5,0.05
-0.21324,-0.073472,0,-0.024549,1,0.625,0.625,0.5,0.05
-0.21287,-0.10058,0,-0.022078,1,0.65,0.65,0.5,0.05
-0.21016,-0.12758,0,-0.019169,1,0.675,0.675,0.5,0.05
-0.20479,-0.15369,0,-0.015913,1,0.7,0.7,0.5,0.05
-0.19645,-0.17793,0,-0.012444,1,0.725,0.725,0.5,0.05
-0.18491,-0.19914,0,-0.0089392,1,0.75,0.75,0.5,0.05
-0.17002,-0.21594,0,-0.005611,1,0.775,0.775,0.5,0.05
-0.15182,-0.22681,0,-0.0026934,1,0.8,0.8,0.5,0.05
-0.13062,-0.23016,0,-0.00041976,1,0.825,0.825,0.5,0.05
-0.10705,-0.22451,0,0.001006,1,0.85,0.85,0.5,0.05
-0.082171,-0.20873,0,0.0014406,1,0.875,0.875,0.5,0.05
-0.057497,-0.18235,0,0.00083829,1,0.9,0.9,0.5,0.05
-0.034888,-0.14596,0,-0.00069557,1,0.925,0.925,0.5,0.05
-0.016391,-0.10136,0,-0.0030263,1,0.95,0.95,0.5,0.05
-0.0047275,-0.051472,0,-0.006546,1,0.975,0.975,0.5,0.05
-0.0010203,-0.025627,0,-0.0087104,1,1,1,0.5,0.05
