"U:0","U:1","U:2","p","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.55528,0.022358,0,-0.063096,1,0.933,0.5,0.933,0.1
0.56111,0.021803,0,-0.06296,1,0.934,0.5,0.934,0.1
0.56693,0.021248,0,-0.062823,1,0.935,0.5,0.935,0.1
0.57276,0.020693,0,-0.062687,1,0.936,0.5,0.936,0.1
0.57859,0.020138,0,-0.062551,1,0.937,0.5,0.937,0.1
0.58442,0.019583,0,-0.062414,1,0.938,0.5,0.938,0.1
0.59025,0.019027,0,-0.062278,1,0.939,0.5,0.939,0.1
0.59607,0.018472,0,-0.062141,1,0.94,0.5,0.94,0.1
0.6019,0.017917,0,-0.062005,1,0.941,0.5,0.941,0.1
0.60773,0.017362,0,-0.061868,1,0.942,0.5,0.942,0.1
0.61356,0.016807,0,-0.061732,1,0.943,0.5,0.943,0.1
0.61939,0.016252,0,-0.061595,1,0.944,0.5,0.944,0.1
0.62521,0.015697,0,-0.061459,1,0.945,0.5,0.945,0.1
0.63104,0.015141,0,-0.061322,1,0.946,0.5,0.946,0.1
0.63687,0.014586,0,-0.061186,1,0.947,0.5,0.947,0.1
0.6427,0.014031,0,-0.061049,1,0.948,0.5,0.948,0.1
0.64853,0.013476,0,-0.060913,1,0.949,0.5,0.949,0.1
0.65435,0.012921,0,-0.060776,1,0.95,0.5,0.95,0.1
0.66106,0.012549,0,-0.060622,1,0.951,0.5,0.951,0.1
0.66777,0.012176,0,-0.060469,1,0.952,0.5,0.952,0.1
0.67448,0.011804,0,-0.060315,1,0.953,0.5,0.953,0.1
0.68118,0.011432,0,-0.060161,1,0.954,0.5,0.954,0.1
0.68789,0.01106,0,-0.060007,1,0.955,0.5,0.955,0.1
0.6946,0.010688,0,-0.059854,1,0.956,0.5,0.956,0.1
0.70131,0.010316,0,-0.0597,1,0.957,0.5,0.957,0.1
0.70801,0.0099438,0,-0.059546,1,0.958,0.5,0.958,0.1
0.71472,0.0095717,0,-0.059392,1,0.959,0.5,0.959,0.1
0.72143,0.0091996,0,-0.059239,1,0.96,0.5,0.96,0.1
0.72814,0.0088275,0,-0.059085,1,0.961,0.5,0.961,0.1
0.73484,0.0084554,0,-0.058931,1,0.962,0.5,0.962,0.1
0.74155,0.0080833,0,-0.058777,1,0.963,0.5,0.963,0.1
0.74826,0.0077112,0,-0.058624,1,0.964,0.5,0.964,0.1
0.75497,0.0073391,0,-0.05847,1,0.965,0.5,0.965,0.1
0.76168,0.0069669,0,-0.058316,1,0.966,0.5,0.966,0.1
0.76838,0.0065948,0,-0.058162,1,0.967,0.5,0.967,0.1
0.77509,0.0062227,0,-0.058009,1,0.968,0.5,0.968,0.1
0.7818,0.0058506,0,-0.057855,1,0.969,0.5,0.969,0.1
0.78851,0.0054785,0,-0.057701,1,0.97,0.5,0.97,0.1
0.79521,0.0051064,0,-0.057548,1,0.971,0.5,0.971,0.1
0.80192,0.0047343,0,-0.057394,1,0.972,0.5,0.972,0.1
0.80863,0.0043622,0,-0.05724,1,0.973,0.5,0.973,0.1
0.81534,0.0039901,0,-0.057086,1,0.974,0.5,0.974,0.1
0.82204,0.003618,0,-0.056933,1,0.975,0.5,0.975,0.1
0.82558,0.0034978,0,-0.056847,1,0.976,0.5,0.976,0.1
0.82913,0.0033776,0,-0.056761,1,0.977,0.5,0.977,0.1
0.83267,0.0032575,0,-0.056675,1,0.978,0.5,0.978,0.1
0.83621,0.0031373,0,-0.05659,1,0.979,0.5,0.979,0.1
0.83975,0.0030172,0,-0.056504,1,0.98,0.5,0.98,0.1
0.84329,0.002897,0,-0.056418,1,0.981,0.5,0.981,0.1
0.84683,0.0027768,0,-0.056333,1,0.982,0.5,0.982,0.1
0.85037,0.0026567,0,-0.056247,1,0.983,0.5,0.983,0.1
0.85391,0.0025365,0,-0.056161,1,0.984,0.5,0.984,0.1
0.85745,0.0024163,0,-0.056076,1,0.985,0.5,0.985,0.1
0.86099,0.0022962,0,-0.05599,1,0.986,0.5,0.986,0.1
0.86454,0.002176,0,-0.055904,1,0.987,0.5,0.987,0.1
0.86808,0.0020559,0,-0.055818,1,0.988,0.5,0.988,0.1
0.87162,0.0019357,0,-0.055733,1,0.989,0.5,0.989,0.1
0.87516,0.0018155,0,-0.055647,1,0.99,0.5,0.99,0.1
0.8787,0.0016954,0,-0.055561,1,0.991,0.5,0.991,0.1
0.88224,0.0015752,0,-0.055476,1,0.992,0.5,0.992,0.1
0.88578,0.0014551,0,-0.05539,1,0.993,0.5,0.993,0.1
0.88932,0.0013349,0,-0.055304,1,0.994,0.5,0.994,0.1
0.89286,0.0012147,0,-0.055218,1,0.995,0.5,0.995,0.1
0.8964,0.0010946,0,-0.055133,1,0.996,0.5,0.996,0.1
0.89994,0.00097442,0,-0.055047,1,0.997,0.5,0.997,0.1
0.90349,0.00085426,0,-0.054961,1,0.998,0.5,0.998,0.1
0.90703,0.0007341,0,-0.054876,1,0.999,0.5,0.999,0.1
0.91057,0.00061394,0,-0.05479,1,1,0.5,1,0.1
